sampleID,latitude,longitude,MAP,MAT
"12432",-42.1738,148.2791,698.00000,12.57833
"12465",-35.4214,148.79855,1010.00000,10.14133
"12467",-35.42375,148.79595,1010.00000,10.14133
"12469",-35.4235,148.7968,1010.00000,10.14133
"12481",-32.526047,142.219292,270.00000,18.48633
"12485",-29.035917,141.352819,193.00000,21.34867
"12495",-35.8766833,149.0097,775.00000,8.96483
"12497",-35.8769333,149.01025,775.00000,8.96483
"12523",-30.2009280212,149.5972090121,627.00000,19.06783
"12560",-35.881,149.0076,775.00000,8.96483
"12618",-33.652818,150.268179,1253.00000,11.98650
"12824",-17.12108333,145.63088333,2634.00000,20.53067
"12830",-17.09208333,145.62021667,2384.00000,19.30817
"12838",-27.632688,153.083025,1184.00000,20.11300
"12876",-14.195246,135.71916,943.00000,27.22133
"12939",-13.40822,135.77629,1105.00000,27.25433
"13276",-39.66524,143.97764,954.00000,13.64333
"13729",-30.19191,120.6551097222,264.00000,18.80850
"14183",-24.853827,147.521225,634.00000,18.48850
"15885",-13.74184,141.50677,1543.00000,26.52683
"15955",-42.8223,147.50573,517.00000,12.53788
"15977",-42.27154,146.8927,707.00000,9.50617
"19453",-33.60963,150.73733,843.00000,17.33267
"19457",-33.6123,150.73895,843.00000,17.33267
"19501",-33.61158,150.72577,843.00000,17.33267
"19517",-33.61737,150.73283,843.00000,17.33267
"7061",-17.6741333333,125.2178,679.00000,27.48450
"7063",-17.5070166667,123.7349,628.00000,27.86000
"7069",-22.57065,118.08065,415.00000,23.90033
"7075",-28.0505166667,120.5461666667,256.00000,20.78433
"7829",-35.153689623,150.753682457,1245.00000,16.74881
"7861",-35.173633778,150.594324166,1196.00000,16.58214
"7888",-35.431,148.80225,1010.00000,10.14133
"7892",-34.2400888888,118.720502222,423.00000,16.03650
"7902",-34.0760797222,118.8708527777,416.00000,15.80283
"7912",-34.0944505555,118.861483888,418.00000,15.89967
"8088",-30.04105,115.02035,532.00000,19.86500
"8128",-33.7283888889,119.7221388889,434.00000,15.87967
"8130",-33.6883611111,119.7616944444,424.00000,15.86900
"8142",-35.8748166,149.01165,735.00000,9.38300
"8154",-25.351,131.0423,315.00000,21.55917
"8164",-25.3457,131.0213,312.00000,21.49267
"8263",-35.11641,141.97633,348.00000,16.51983
"8268",-35.12282,141.99678,348.00000,16.51983
"8455",-25.3119,131.085,320.00000,21.64483
"8497",-13.553880906,132.27106973,1443.00000,26.87167
"9450",-35.3941,148.8271,1018.00000,9.81967
"9462",-35.43457,148.7989,1010.00000,10.14133
"9466",-35.59065,148.9085,880.00000,9.16750
